id,lesson_id,role_entry_id,section,item_type,title,mei,maker,note,created_at
70,9,28,kyaku,shifuku,,,夕湖,,"2026-04-21 14:50:18.670544"
71,10,,chashitsu,okashi,鶴屋八幡,あやめ,,,"2026-05-19 08:46:42.810506"
72,10,,chashitsu,kakejiku,,,,軸：清風自南来　小林太玄（大徳寺）？,"2026-05-19 08:46:43.902359"
73,10,,chashitsu,hana,,,,芍薬（真鍮の花入）,"2026-05-19 08:46:45.068802"
74,10,29,teishu,chashaku,,鵜飼,,,"2026-05-19 08:46:47.408491"
78,11,,chashitsu,okashi,鶴屋吉信,,,,"2026-05-26 09:35:25.60506"
79,11,33,teishu,chashaku,,青嵐,坐忘斎御家元,,"2026-05-26 09:35:27.789099"
80,11,33,teishu,shifuku,,,夕湖,,"2026-05-26 09:35:28.967801"
81,11,34,kyaku,chashaku,,一声,,,"2026-05-26 09:35:31.322044"
82,12,,chashitsu,okashi,紅谷,唐衣,,,"2026-05-26 12:38:29.6413"
83,12,,chashitsu,kakejiku,,,,"微風吹幽松 近聴声愈好（びふう ゆうしょうを ふく。ちかくきけば こえ いよいよ よし）
『寒山詩』の一節","2026-05-26 12:38:30.771847"
84,12,,chashitsu,hana,,,,シモツケ、京鹿の子,"2026-05-26 12:38:31.838824"
85,12,35,teishu,chawan,,,,"瀬戸黒、古帛紗扱い

加藤 孝造（かとう こうぞう）重要無形文化財「瀬戸黒」の保持者（人間国宝）。鋭いへら跡を生かした力強い造形と、窯から引き出して急冷させることで生まれる漆黒の美しさが特徴です。荒川 豊蔵（あらかわ とよぞう）「瀬戸黒」と「志野」の2つの分野で重要無形文化財保持者（人間国宝）に認定された偉大な陶芸家。古窯跡で陶片を発見し、桃山時代の美濃焼の復興に生涯を捧げました。加藤 唐九郎（かとう とうくろう）昭和の陶芸界を代表する巨匠。志野や瀬戸黒など、美濃の伝統陶芸を現代に蘇らせ、多大な影響を与えた伝説的な陶芸家です。鈴木 五郎（すずき ごろう）岐阜県豊田市で作陶を行う、現代陶芸における瀬戸黒の代表的な作家の一人。大胆で自由な作風が国内外で高く評価されています。","2026-05-26 12:38:34.159783"
86,12,35,teishu,chashaku,,水鶏,坐忘斎御家元,,"2026-05-26 12:38:35.297792"
87,12,35,teishu,shifuku,金襴,,夕湖,,"2026-05-26 12:38:36.416639"
88,12,36,kyaku,chashaku,,滴水,坐忘斎御家元,曹源一滴水（そうげんのいってきすい）意味：大河もすべては最初の一滴の水から始まる。どんなに小さな物事や一人の人間の力であっても、そこには無限の可能性や真理が宿っているという教えです。言葉の由来（曹源とは）：「曹源」とは、中国の禅宗の祖である慧能（えのう）禅師が説法を行った「曹渓（そうけい）」という川の源流を指します。たった一人の教え（一滴の水）が、弟子へ、そして海を渡り日本へと伝わり、やがて多くの人々を救う大河となった歴史に由来します。,"2026-05-26 12:38:38.75088"
89,13,,chashitsu,okashi,鶴屋八幡,青梅,,,"2026-06-09 08:44:14.750289"
90,13,,chashitsu,kakejiku,,,,"忘筌（松長剛山 筆）","2026-06-09 08:44:15.861288"
91,13,,chashitsu,hana,,,,白菖蒲、京鹿の子、シモツケ（まゆ籠）,"2026-06-09 08:44:17.004692"
92,13,37,teishu,chashaku,,鶺鴒（セキレイ）,坐忘斎御家元,,"2026-06-09 08:44:19.572526"
93,13,37,teishu,shifuku,,,夕湖,,"2026-06-09 08:44:20.84195"
94,13,38,kyaku,shifuku,,,夕湖,,"2026-06-09 08:44:23.244837"
95,14,,chashitsu,okashi,鶴屋八幡,四葩（よひら）あじさいのこと,,,"2026-08-07 07:27:55.688648"
96,14,,chashitsu,kakejiku,,,,清流無間断　小林太玄老師筆,"2026-08-07 07:27:56.879191"
97,14,,chashitsu,hana,,,,半夏生、鉄線、京鹿の子,"2026-08-07 07:27:57.964628"
98,15,,chashitsu,okashi,鶴屋八幡,四葩（よひら）あじさいのこと,,,"2026-08-07 07:37:36.822105"
99,15,,chashitsu,kakejiku,,,,清流無間断　小林太玄老師筆,"2026-08-07 07:37:37.905516"
117,20,,chashitsu,okashi,紅谷,織姫,,,"2026-08-08 08:16:24.859523"
100,15,,chashitsu,hana,,,,半夏生、鉄線、京鹿の子,"2026-08-07 07:37:38.95782"
118,20,,chashitsu,kakejiku,,,,和敬清寂,"2026-08-08 08:16:25.909558"
119,20,,chashitsu,hana,,,,桔梗、ヤバネススキ,"2026-08-08 08:16:26.960027"
110,19,,chashitsu,okashi,紅谷,水無月,,,"2026-08-08 08:01:06.784929"
123,21,,chashitsu,okashi,鶴屋吉信,牽牛花　けんぎゅうか,,,"2026-08-15 12:53:12.674498"
124,21,,chashitsu,kakejiku,,,,随処作主　立処皆真　（ずいしょにしゅとなれば、りっしょみなしんなり）,"2026-08-15 12:53:13.727279"
125,21,,chashitsu,hana,,,,桔梗、撫子、白トラノオ、矢羽根ススキ,"2026-08-15 12:53:14.770955"
126,22,,chashitsu,okashi,鶴屋八幡,水月,,,"2026-08-21 08:25:02.003665"
127,22,,chashitsu,kakejiku,,,,山呼萬歳聲,"2026-08-21 08:25:03.109678"
128,22,,chashitsu,hana,,,,桔梗,"2026-08-21 08:25:04.224439"
