id,user_id,practiced_on,practice_name,created_at
1,1,2025-06-19,薄茶/なし/洗い茶巾,"2026-03-25 05:28:18.235471"
2,1,2025-06-19,薄茶/なし/洗い茶巾,"2026-03-25 05:32:32.97429"
3,1,2025-02-13,濃茶/なし/逆勝手,"2026-03-25 05:36:59.495763"
4,1,2026-03-17,濃茶/旅箪笥/平点前,"2026-03-26 00:30:32.600769"
5,1,2026-02-17,濃茶/なし/逆勝手,"2026-03-26 00:36:22.903569"
6,1,2026-01-20,薄茶/なし/絞り茶巾,"2026-03-26 00:50:51.444724"
7,1,2026-04-07,薄茶/行雲棚/茶会形式,"2026-04-07 13:14:52.62124"
8,4,2026-04-14,薄茶/丸卓/まるじょく薄茶,"2026-04-14 13:21:11.894"
9,1,2026-04-21,薄茶/更好棚/　　,"2026-04-21 13:19:29.393691"
10,1,2026-05-12,薄茶/なし/運び点前,"2026-05-19 08:46:41.88045"
