id,user_id,practiced_on,practice_name,created_at
1,1,2025-06-19,薄茶/なし/洗い茶巾,"2026-03-25 05:28:18.235471"
2,1,2025-06-19,薄茶/なし/洗い茶巾,"2026-03-25 05:32:32.97429"
3,1,2025-02-13,濃茶/なし/逆勝手,"2026-03-25 05:36:59.495763"
4,1,2026-03-17,濃茶/旅箪笥/平点前,"2026-03-26 00:30:32.600769"
5,1,2026-02-17,濃茶/なし/逆勝手,"2026-03-26 00:36:22.903569"
6,1,2026-01-20,薄茶/なし/絞り茶巾,"2026-03-26 00:50:51.444724"
7,1,2026-04-07,薄茶/行雲棚/茶会形式,"2026-04-07 13:14:52.62124"
8,4,2026-04-14,薄茶/丸卓/まるじょく薄茶,"2026-04-14 13:21:11.894"
9,1,2026-04-21,薄茶/更好棚/　　,"2026-04-21 13:19:29.393691"
10,1,2026-05-12,薄茶/なし/運び点前,"2026-05-19 08:46:41.88045"
11,1,2026-05-19,濃茶/丸卓/　,"2026-05-26 09:30:50.414051"
12,1,2026-05-26,濃茶/更好棚/　,"2026-05-26 12:38:28.778772"
13,1,2026-06-02,濃茶/なし/大津袋,"2026-06-09 08:44:13.744986"
14,1,2026-06-09,薄茶/なし/忘れ,"2026-08-07 07:27:54.589985"
15,1,2026-06-09,薄茶/なし/忘れ,"2026-08-07 07:37:35.934694"
19,1,2026-06-16,薄茶/なし/葉蓋,"2026-08-08 08:01:05.874675"
20,1,2026-06-30,薄茶/なし/休み,"2026-08-08 08:14:47.512108"
21,1,2026-07-07,薄茶/なし/名水点て,"2026-08-15 12:37:13.015469"
22,1,2026-08-18,薄茶/なし/茶箱　テスト,"2026-08-21 08:25:00.912301"
23,8,2026-08-27,薄茶/なし/テスト,"2026-08-27 11:25:46.799016"
24,8,2026-08-27,薄茶/なし/テスト,"2026-08-27 11:27:22.725189"
25,9,2026-08-02,薄茶/なし/レビュー用サンプル1,"2026-08-27 12:13:21.036326"
26,9,2026-08-03,薄茶/なし/レビュー用サンプル2,"2026-08-27 12:13:21.776954"
27,9,2026-08-04,薄茶/なし/レビュー用サンプル3,"2026-08-27 12:13:22.628925"
28,9,2026-08-05,薄茶/なし/レビュー用サンプル4,"2026-08-27 12:13:23.450275"
29,9,2026-08-06,薄茶/なし/レビュー用サンプル5,"2026-08-27 12:13:24.323487"
30,9,2026-08-07,薄茶/なし/レビュー用サンプル6,"2026-08-27 12:13:25.036577"
31,9,2026-08-08,薄茶/なし/レビュー用サンプル7,"2026-08-27 12:13:25.956725"
32,9,2026-08-09,薄茶/なし/レビュー用サンプル8,"2026-08-27 12:13:26.698584"
33,9,2026-08-01,薄茶/なし/レビュー用サンプル9,"2026-08-27 12:13:27.446278"
34,9,2026-08-02,薄茶/なし/レビュー用サンプル10,"2026-08-27 12:13:28.15373"
35,9,2026-08-03,薄茶/なし/レビュー用サンプル11,"2026-08-27 12:13:28.971622"
36,9,2026-08-04,薄茶/なし/レビュー用サンプル12,"2026-08-27 12:13:29.690287"
37,6,2026-08-30,薄茶/なし/Dry,"2026-08-30 14:30:43.574166"
38,6,2026-08-30,薄茶/なし/Chi,"2026-08-30 14:33:09.550521"
39,6,2026-08-30,薄茶/なし/He,"2026-08-30 14:33:42.583922"
40,6,2026-08-30,薄茶/なし/Cup,"2026-08-30 14:35:29.601405"
41,6,2026-08-30,薄茶/なし/Bbkmm,"2026-08-30 14:35:43.06976"
42,6,2026-08-30,薄茶/なし/Boom,"2026-08-30 14:35:56.675764"
43,6,2026-08-30,薄茶/なし/Fig,"2026-08-30 14:54:45.586474"
44,6,2026-08-30,薄茶/なし/Ghj,"2026-08-30 14:55:00.1342"
45,6,2026-08-30,薄茶/なし/Chi,"2026-08-30 14:56:01.011582"
46,6,2026-08-30,薄茶/なし/Ghj,"2026-08-30 14:56:24.753403"
